AAV	29m 04ch	40m 57ch	SW260
ABD	16m 20ch	22m 01ch	GW834
ABE	0m 00ch	4m 08ch	LN185
ABE1	0m 00ch	4m 04ch	LN185
ABE2	0m 36ch	0m 39ch	LN185
ABW	0m 00ch	0m 64ch	GW300 to 26 March 2021
ABW	0m 00ch	0m 64ch	MD900 from 27 March 2021
ACD	0m 00ch	0m 25ch	LN190
ACR	56m 35ch	85m 67ch	SO220
ACW	0m 00ch	0m 35ch	MD170
AEG	0m 00ch	0m 28ch	NW2007
AFE	0m 00ch	0m 25ch	GW732
AFL	0m 00ch	0m 40ch	NW8007
AFR	112m 03ch	118m 42ch	GW4501
AGW	0m 00ch	0m 73ch	SO307
AHG	1m 78ch	2m 50ch	SW218
AHX	0m 00ch	0m 37ch	NW6003
AJB	0m 00ch	0m 77ch	SW257
AJM1	137m 61ch	145m 27ch	LN3246
ALC1	0m 00ch	5m 00ch	MD340
ALC2	5m 00ch	13m 37ch	MD340
ALK	22m 01ch	22m 23ch	GW834
AMB	11m 64ch	16m 03ch	GW454
AMJ	0m 00ch	0m 40ch	NW5013
AML	0m 00ch	0m 62ch	LN3264
ANI1	0m 00ch	53m 05ch	SC195
ANI2	0m 00ch	30m 40ch	SC195
ANI3	119m 26ch	143m 39ch	SC195
ANL	3m 24ch	8m 60ch	GW110
ANL	8m 60ch	10m 15ch	MD705
ANN	39m 42ch	50m 16ch	SC087
APB	132m 76ch	133m 21ch	LN3270
APL	64m 58ch	73m 65ch	SO210
ARG1	0m 00ch	0m 43ch	SC025
ARG2	0m 43ch	4m 74ch	SC025
ARH	30m 44ch	31m 35ch	SC077
ATH	56m 20ch	82m 33ch	SO200
ATL	3m 47ch	7m 35ch	SO645
AWL	0m 39ch	0m 49ch	EA1310
AWL	0m 00ch	0m 39ch	GW130
AWP	0m 00ch	0m 24ch	LN920
AYH1	0m 00ch	0m 17ch	SC085
AYR1	0m 00ch	6m 53ch	SC059
AYR2	6m 73ch	7m 03ch	SC059
AYR3	7m 03ch	23m 00ch	SC059
AYR4	23m 00ch	33m 08ch	SC059
AYR5	0m 00ch	2m 15ch	SC059
AYR6	32m 05ch	40m 49ch	SC059
BAC2	149m 53ch	152m 21ch	LN774
BAC3	154m 15ch	155m 06ch	LN774
BAE1	50m 21ch	83m 72ch	SW115
BAE2	84m 00ch	172m 04ch	SW115
BAE2	164m 30ch	172m 04ch	GW610
BAG1	42m 38ch	47m 48ch	MD306
BAG2	52m 57ch	92m 21ch	GW400
BAG2	92m 21ch	92m 68ch	GW700
BAG2	46m 42ch	77m 40ch	MD306
BAG2	77m 40ch	92m 21ch	GW401
BAH2	46m 56ch	52m 58ch	LN868
BAK	5m 71ch	7m 56ch	SC039
BAL	0m 00ch	8m 10ch	GW874
BAR	100m 44ch	110m 18ch	LN744
BAW	128m 75ch	129m 49ch	GW456
BBB	10m 55ch	24m 08ch	NW6011
BBJ	4m 69ch	11m 64ch	SO650
BBM	0m 00ch	16m 07ch	MD140
BBM	0m 00ch	16m 50ch	LN3140
BBR	22m 35ch	25m 75ch	SO640
BBW	0m 00ch	1m 17ch	LN861
BCB	0m 00ch	116m 44ch	LN220
BCH	16m 39ch	20m 38ch	SC135
BCJ	126m 40ch	127m 19ch	LN3535
BCV	125m 73ch	128m 11ch	MD401
BDH	0m 00ch	1m 03ch	LN3222
BDN	0m 00ch	0m 18ch	MD175
BEA	51m 58ch	56m 60ch	MD310
BEC	0m 00ch	4m 22ch	LN786
BEJ	0m 00ch	2m 35ch	NW9001
BEJ	2m 35ch	19m 09ch	NW9021
BEN	4m 40ch	7m 18ch	NW8015
BEW	46m 56ch	48m 06ch	LN816
BEX	5m 74ch	15m 36ch	SO300
BEX	5m 54ch	5m 74ch	SO333
BFB	0m 00ch	9m 11ch	GW510
BFC	0m 00ch	0m 63ch	EA1744
BFO	0m 00ch	0m 68ch	MD735
BFO	0m 68ch	1m 48ch	MD740
BFO	0m 68ch	1m 48ch	MD741 from 6 May 2023
BGD	0m 02ch	4m 39ch	SC201
BGE	0m 00ch	0m 32ch	LN666
BGK	1m 14ch	30m 27ch	EA1160
BGK	30m 27ch	71m 63ch	EA1161
BGK	71m 63ch	96m 74ch	EA1162
BGL1	93m 09ch	94m 10ch	GW400
BGL1	93m 09ch	94m 10ch	GW401
BGL2	94m 60ch	121m 28ch	GW400
BGL2	94m 60ch	121m 28ch	GW401
BGL2	120m 03ch	122m 65ch	GW440
BHI	156m 16ch	158m 76ch	NW1009
BHL	37m 62ch	81m 16ch	GW500
BHP	0m 00ch	0m 65ch	LN215
BIB	0m 00ch	0m 17ch	LN932
BJN1	9m 36ch	9m 70ch	SO655
BJN2	9m 48ch	9m 75ch	SO655
BJR	2m 05ch	4m 69ch	GW773
BJW1	0m 00ch	0m 65ch	MD345
BJW2	5m 41ch	6m 79ch	MD345
BJW3	19m 00ch	23m 33ch	LN3340
BJW3	16m 47ch	19m 00ch	MD340
BJW3	12m 15ch	16m 47ch	MD350
BKE	36m 17ch	37m 62ch	GW500
BKE	37m 76ch	51m 39ch	SW125
BKE	36m 17ch	37m 76ch	SW210
BKR	7m 70ch	10m 32ch	EA1395
BKS	0m 00ch	20m 49ch	LN758
BLC	1m 08ch	1m 37ch	LN790
BLI1	0m 00ch	19m 25ch	SO630
BLI2	60m 57ch	62m 03ch	SO630
BLJ	161m 20ch	161m 67ch	LN812
BLL	117m 50ch	117m 73ch	GW530
BLP	93m 25ch	98m 16ch	SW160
BLW	0m 00ch	0m 30ch	GW350 to 26 March 2021
BLW	0m 00ch	0m 30ch	MD950 from 27 March 2021
BME1	0m 00ch	0m 25ch	SO240
BME2	82m 18ch	99m 05ch	SO240
BMJ	0m 62ch	1m 14ch	SO282
BML1	0m 00ch	3m 74ch	SW100
BML1	3m 74ch	77m 68ch	SW105
BML2	78m 00ch	136m 15ch	SW105
BML3	162m 14ch	168m 62ch	SW105
BNC	0m 00ch	0m 19ch	GW750
BNE	0m 00ch	2m 53ch	LN694
BNG	8m 65ch	10m 47ch	SO350
BNN	69m 48ch	70m 76ch	MD175
BNW	0m 00ch	0m 20ch	LN664
BOC1	5m 21ch	7m 51ch	LN778
BOH	0m 00ch	0m 44ch	LN644
BOK1	2m 22ch	5m 10ch	EA1320
BOK2	0m 00ch	5m 13ch	EA1310
BOK3	5m 13ch	5m 48ch	EA1310
BOK4	0m 00ch	0m 66ch	EA1310
BOK5	0m 66ch	2m 52ch	EA1310
BOK5	2m 52ch	3m 61ch	EA1330
BOK6	9m 47ch	10m 01ch	SW240
BOO	4m 43ch	6m 17ch	LN876
BPC	129m 53ch	137m 51ch	LN3258
BPH	4m 29ch	5m 18ch	MD175
BPP	0m 00ch	0m 23ch	NW7023
BRA	17m 71ch	24m 15ch	EA1070
BRB	0m 00ch	2m 67ch	GW178
BRI1	99m 20ch	100m 44ch	LN742
BRI2	100m 44ch	104m 05ch	LN742
BRL	0m 00ch	1m 09ch	GW528
BRY	0m 10ch	8m 77ch	GW830
BSC	0m 00ch	2m 05ch	LN3605
BSF	0m 72ch	1m 75ch	SO259
BSG	0m 00ch	0m 52ch	MD745
BSJ	4m 79ch	5m 04ch	NW2027
BSN	0m 00ch	0m 56ch	NW4027
BSP1	0m 73ch	1m 58ch	SO255
BSP2	1m 63ch	2m 20ch	SO252
BSW	0m 31ch	4m 50ch	GW450
BSW	4m 50ch	5m 61ch	GW540
BSW	5m 61ch	10m 47ch	GW600
BSW	10m 47ch	16m 44ch	GW900
BTC	7m 13ch	8m 62ch	SO305
BTH1	1m 49ch	13m 45ch	SO680
BTH2	14m 66ch	19m 03ch	SO680
BTH3	14m 27ch	35m 35ch	SO680
BTH3	14m 27ch	35m 35ch	SW180
BTH3	18m 10ch	22m 08ch	SW183
BTJ	160m 52ch	161m 24ch	LN809
BTL	0m 00ch	8m 03ch	SO620
BUT	0m 00ch	0m 33ch	GW8001
BUX	0m 00ch	4m 70ch	NW9019
BWC	0m 00ch	4m 14ch	LN702
BWO2	0m 00ch	0m 57ch	LN700
BYL	0m 00ch	0m 60ch	SC081
CAL	0m 02ch	4m 40ch	GW637
CAM	0m 67ch	24m 47ch	GW830
CAM	0m 02ch	0m 67ch	GW839
CAN	245m 10ch	245m 65ch	GW930
CAR	1m 22ch	24m 00ch	GW810
CAT	3m 08ch	10m 73ch	SO260
CAW	5m 19ch	5m 72ch	LN3219
CAW	5m 72ch	6m 03ch	EA1360
CBC1	0m 00ch	74m 73ch	NW4033
CBC2	0m 00ch	12m 05ch	NW4033
CBC3	0m 00ch	27m 49ch	NW4033
CBD1	0m 00ch	1m 33ch	SC103
CBD2	97m 09ch	103m 41ch	SC103
CBI	0m 00ch	0m 53ch	LN3214
CBM	0m 00ch	0m 38ch	SO120
CBR1	0m 00ch	1m 26ch	MD565
CBR2	36m 04ch	47m 54ch	MD565
CCB1	0m 00ch	1m 63ch	LN3640
CCG2	16m 61ch	18m 09ch	MD125
CCH	0m 23ch	40m 49ch	EA1530
CCL	115m 33ch	138m 30ch	GW500
CCS1	13m 30ch	14m 06ch	NW8017
CCS2	14m 06ch	15m 40ch	NW8017
CDC1	0m 03ch	14m 10ch	SC181
CDC2	44m 18ch	45m 66ch	SC181
CDM1	7m 05ch	8m 00ch	NW3023
CDM1	6m 77ch	8m 00ch	NW3027
CDM2	7m 69ch	35m 41ch	NW3023
CEC	0m 04ch	0m 25ch	NW9903
CEH	0m 00ch	0m 37ch	NW7005
CEJ	0m 00ch	0m 22ch	GW830
CEM	9m 08ch	11m 09ch	LN790
CFM	10m 31ch	15m 62ch	LN902
CFP	3m 12ch	3m 20ch	EA1320
CFP	3m 20ch	4m 33ch	LN110
CGJ1	159m 00ch	176m 00ch	NW1001
CGJ2	176m 00ch	181m 76ch	NW1001
CGJ3	181m 76ch	185m 49ch	NW1001
CGJ4	185m 49ch	187m 76ch	NW1001
CGJ5	0m 53ch	21m 57ch	NW1001
CGJ6	0m 00ch	0m 33ch	NW1001
CGJ6	0m 00ch	20m 78ch	NW4001
CGJ7	0m 00ch	69m 09ch	NW4001
CHL	92m 21ch	93m 09ch	GW400
CHL	92m 21ch	93m 09ch	GW401
CHM	0m 00ch	0m 15ch	EA1350
CHR	146m 58ch	162m 24ch	LN806
CHS	0m 00ch	1m 53ch	LN868
CHW1	16m 16ch	17m 23ch	NW1019
CHW1	0m 00ch	16m 16ch	NW3003
CHW2	17m 23ch	17m 76ch	NW1019
CIL	156m 20ch	158m 24ch	NW1015
CJA1	36m 34ch	37m 00ch	SO580
CJA2	0m 00ch	1m 14ch	SO580
CJC	4m 38ch	10m 33ch	EA1200
CJL	0m 37ch	0m 68ch	SO250
CJS	160m 59ch	166m 70ch	LN842
CJS	160m 08ch	160m 59ch	LN846
CKL	1m 67ch	2m 51ch	SO250
CKT	0m 00ch	0m 48ch	SC167
CLL	0m 00ch	0m 26ch	GW850
CLY	101m 01ch	102m 16ch	SC029
CMD1	0m 00ch	16m 00ch	NW5009
CMD2	15m 65ch	38m 61ch	NW5009
CMM	4m 74ch	12m 44ch	GW923
CMP1	158m 76ch	162m 28ch	NW1009
CMP1	158m 18ch	182m 38ch	NW5001
CMP2	182m 38ch	188m 70ch	NW5001
