AAL	Ashendon and Aynho Line	0.00 - 18.29	Ashendon Junction	Now NAJ3
AAM	Ashchurch and Malvern Line	0.00 - 13.29	Tewkesbury Junction	Formerly AML
AAV	Ascot Junction to Ash Vale Junction	28.66 - 40.57	Waterloo via Twickenham	nan
ABB	Ashburton Branch	nan	nan	Now AHB
ABB	Abbotsbury Line	0.00 - 6.08	Upwey Junction	nan
ABD	Aberdare Branch	16.20 - 24.41	Cardiff Bute Road	nan
ABE	Allington West Junction to Barkeston East Junction	0.00 - 4.08	Allington West Junction	Formerly ABE1 and ABE2
ABE	Allington Junction to Barkston East Junction Spur	see separate portions	nan	nan
ABE1	Allington Junction to mileage change	0.00 - 4.04	Allington Junction	Now part of ABE
ABE2	Mileage change to Barkston East Junction Spur	0.36 - 0.39	Barkston	Now part of ABE
ABF	Aberfoyle Branch	0.00 - 5.34	Buchlyvie Junction	nan
ABG	Arbroath St Vigean's Junction to Guthrie	17.17 - 24.17	Dundee East Station	nan
ABH	Aberystwyth (Vale of Rheidol) Harbour Branch	0.00 - 0.42	Junction with VOR	nan
ABJ	Ashton Moss Junction to Droylesden Junction	4.44 - 5.74	Heaton Norris Junction	nan
ABK	Arbuckle Branch	?? - ??	nan	North British Railway Arbuckle Siding, between Whiterigg and Longriggend
ABL	Abercanaid Loop/Merthyr Tunnel Loop	5.50 - 5.72	Quakers Yard	nan
ABN	Abingdon Branch	0.00 - 2.51	Radley Station	nan
ABO	Ashbourne Branch	0.00 - 6.50	Rocester	nan
ABS	Abergavenny South Curve	0.00 - 0.16	Abergavenny South Curve Junction	Formerly ASC
ABT	Albert Harbour Branch	0.00 - 0.22	Greenock Princes Pier Junction	nan
ABW	Abbotswood Branch	0.00 - 0.64	Abbotswood Junction	nan
ABX	Airdrie to Bathgate Line	12.23 - 25.18	High Street	nan
ABY	Newton Tony Junction to Bulford via Amesbury	73.02 - 82.63	Waterloo	nan
ACB	Alfreton Colliery Branch	0.00 - 0.55	Alfreton Colliery Branch Junction	nan
ACC	Alloa Co-op Ground Frame to Alloa Coal Depot	6.65 - 7.12	Stirling Middle Junction	nan
ACD	Allington Chord	0.00 - 0.25	Allington East Junction	nan
ACE	Aldam Curve	8.29 - 9.05	Barnsley Junction	nan
ACK	Alnmouth to Alnwick Branch	0.00 - 2.79	Alnmouth South Junction	nan
ACL	Annbank and Cronberry Line	43.52 - 60.08	Bridge Street Station	Part now KCH1
ACN	Aylesbury to Cheddington Branch	0.00 - 7.01	Cheddington	nan
ACP	Avenue Coking Plant Branch	142.38 - 143.65	St Pancras via Toton	nan
ACR	Ashford Canterbury and Ramsgate Line	56.35 - 86.16	Charing Cross via Chelsfield and Canterbury West	nan
ACW	Acton Canal Wharf to Willesden	0.00 - 0.35	Willesden Junction (with LLG)	nan
ACZ	Abercarn Colliery Siding	0.00 - 0.22	Abercarn Colliery Junction	nan
ADD	Adderley Green Branch (Stoke - Buckland Branch)	see separate portions	nan	nan
ADD1	Adderley Green Branch	0.00 - 0.70	Normacot Junction	nan
ADD2	Adderley Green Branch	0.00 - 2.42	Botteslow Junction	nan
ADH	Hull Alexandra Docks Branch	see separate portions	nan	nan
ADH1	Bridges Junction to Springbank South Junction	0.40 - 4.59	Hull Alexandra Dock	nan
ADH2	Hessle Road Junction to Springbank South Junction	0.00 - 0.78	Hessle Road Junction	nan
ADJ	Aberdare Junction	23.69 - 23.77	Cardiff Bute Road	nan
ADL	Andoversford Line	nan	nan	Now AND
ADL	Addiewell Branch	0.00 - 1.57	Addiewell Branch Junction	nan
ADU	Aberavon Disused Loop	13.50 - 13.63	R&SB Junction	nan
ADW	Attercliffe Junction to Darnall West Junction Curve	0.00 - 0.49	Attercliffe Junction	nan
AEB	Audley End to Bartlow Branch	41.46 - 48.66	Liverpool Street	nan
AEG	Allerton East Junction to Garston Junction Curve	0.00 - 0.27	Allerton East Junction	nan
AFB	Aladdin Factory Branch (sidings at Greenford)	8.00 - 8.40	Paddington	nan
AFE	Abbey Forgate Junction to English Bridge Junction Curve (Shrewsbury Curve)	0.00 - 0.25	English Bridge Junction	nan
AFJ	Almond Fork Junction	?? - ??	nan	near Linlithgow
AFL	Aintree Fork Line	0.00 - 0.45	Sefton Junction	Also known as Aintree Freight Loop
AFR	Avonmouth and Filton Railway	112.03 - 118.42	Paddington via Badminton	nan
AFS	Aviemore to Forres Line	83.09 - 119.30	Perth	nan
AGB	Aberlady Junction to Gullane Branch	14.61 - 19.46	Edinburgh Waverley	nan
AGE	Swanage Branch	129.55 - 136.27	Waterloo	Remiled 0.00 - 6.52 from Swanage post-preservation
AGS	Ayr Goods Branch	39.32 - 40.01	Glasgow Bridge Street	Harbour Junction to Ayr Goods
AGW	Angerstein Wharf Branch	0.00 - 0.73	Angerstein Junction	nan
AGY	Attercliffe Goods Yard	0.00 - 0.42	Attercliffe Goods Station Branch Junction	nan
AHB	Ashburton Branch	0.18 - 9.37	Totnes Station	Formerly ABB
AHG	Nine Elms Junction to Linford Street Junction	1.78 - 2.50	Waterloo	ELR derived from site engineer's initials
AHR	Arnside to Hincaster Line	0.00 - 5.25	Arnside	nan
AHS	Alton Heights Branch	14.77 - 18.06	Lesmahagow Junction (Motherwell)	nan
AHX	Allerton to Hunts Cross Curve	0.00 - 0.44	Allerton	nan
AIF	Airdrie Fork	8.52 - 8.69	Rutherglen East Junction	Cairnhill Junction to Gartness Junction
AIR	Airdrie Branch	8.56 - 9.22	Rutherglen East Junction	Continuation of ITW to Airdrie South (Caledonian)
AIW	Alton Itchen Abbas and Winchester Line	49.24 - 65.70	Waterloo via Worplesdon, Guildford (reverse) and Tongham	nan
AJB	Addlestone Junction to Byfleet Junction	0.00 - 0.77	Addlestone Junction	nan
AJF	Almond Junction to Manuel Junction	?? - ??	nan	Falkirk area
AJL	Axholme Joint Line	0.00 - 17.12/ 9.01 - 26.13	Marshland Junction/Gilberdyke Junction	nan
AJM	Ambergate Junction to New Mills	see separate portions	nan	nan
AJM1	Ambergate Junction to Rowsley	137.41 - 149.40	St Pancras	nan
AJM2	Rowsley to Peak Forest Junction	149.11 - 161.05	St Pancras	nan
AJW	Abbey Junction to Weddington Junction	0.00 - 0.61	Abbey Junction	nan
AKC	Alnwick and Cornhill Line	0.00 - 35.47	Coldstream Junction	nan
AKE	Alloa and Kincardine Branch	see separate portions	nan	nan
AKE1	Alloa Co-op Junction to Kincardine Junction	6.65 - 8.14	Stirling Middle Junction	nan
AKE2	Kincardine Junction to Kincardine SSEB Sidings	0.00 - 3.47	Kincardine Junction	nan
AKJ	Andover Junction to Kimbridge Junction	0.00 - 15.02	Andover Junction	nan
